basic_hotelNo,basic_hotelName,basic_hotelInformationUrl,basic_planListUrl,basic_dpPlanListUrl,basic_reviewUrl,basic_hotelKanaName,basic_hotelSpecial,basic_hotelMinCharge,basic_latitude,basic_longitude,basic_postalCode,basic_address1,basic_address2,basic_telephoneNo,basic_faxNo,basic_access,basic_parkingInformation,basic_nearestStation,basic_hotelImageUrl,basic_hotelThumbnailUrl,basic_roomImageUrl,basic_roomThumbnailUrl,basic_hotelMapImageUrl,basic_reviewCount,basic_reviewAverage,basic_userReview,room_roomClass,room_roomName,room_planId,room_planName,room_pointRate,room_withDinnerFlag,room_dinnerSelectFlag,room_withBreakfastFlag,room_breakfastSelectFlag,room_payment,room_reserveUrl,room_salesformFlag,charge_stayDate,charge_rakutenCharge,charge_total,charge_chargeFlag,date,area
130169,ホテルリソルトリニティ博多,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=130169,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=130169&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=130169,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=130169,ほてるりそるとりにてぃはかた,【中洲川端駅徒歩1分】展望大浴場のある“くつろぎ”のホテル。天神エリア・キャナルシティも徒歩圏！全客室Ｗｉ-Ｆｉ接続可能,7400.0,120922.52,469470.19,810-0801,福岡県,福岡市博多区中洲4-4-10,092-282-9269,092-282-9279,地下鉄　中洲川端駅から徒歩で１分■①番出口（階段のみ）■④番出口（エスカレータ・EVあり）,有り　機械式駐車場２２台／青空駐車場６台　１，６００円（税込／泊）※ご予約制ではなく先着順となります,中洲川端,https://img.travel.rakuten.co.jp/share/HOTEL/130169/130169.jpg,https://img.travel.rakuten.co.jp/HIMG/90/130169.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/130169/130169_kan.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/130169.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/130169/130169map.gif,2707.0,4.41,"ただ、中洲の一通など、ホテルにたどり着くのが困難でした、、、私の地図の読めなさ…　2026-08-07 17:46:12投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=130169"" class=""3click"">つづきはこちら</a>",sn,【禁煙室】モダレット/ベット幅140cm,5673467.0,【スダンダードプラン】福岡観光、ビジネスに最高のロケーション！展望大浴場でリフレッシュ♪＜素泊り＞,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=130169&f_syu=sn&f_hi1=2026-08-13&f_hi2=2026-08-14&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=5673467,0,2026-08-13,20000,20000,0,2026-08-13,seibu
14436,アメニティホテルｉｎ博多,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=14436,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=14436&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=14436,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=14436,あめにてぃほてるいん　はかた,地下鉄『中洲川端駅』より徒歩3分★朝食ビュッフェ無料（明太子も食べ放題）★漫画約2000冊が読み放題★,4350.0,120932.05,469477.2,812-0026,福岡県,福岡市博多区上川端町14-25,092-282-0041,092-282-0044,地下鉄『中洲川端駅』7番出口より徒歩3分,専用駐車場はございませんが、近隣の一般駐車場をご案内いたしております。,中洲川端,https://img.travel.rakuten.co.jp/share/HOTEL/14436/14436.jpg,https://img.travel.rakuten.co.jp/HIMG/90/14436.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/14436/14436_s.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/14436.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/14436/14436map.gif,3087.0,4.08,,s-s,【喫煙】シングル（全室Wi-Fi利用可）,5473174.0,【事前カード決済限定】シングル（朝食ビュッフェ無料・明太子食べ放題、コーヒー無料サービス）,1,0,0,1,0,2,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=14436&f_syu=s-s&f_hi1=2026-08-13&f_hi2=2026-08-14&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=5473174,0,2026-08-13,7800,7800,0,2026-08-13,seibu
8288,デュークスホテル中洲,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=8288,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=8288&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=8288,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=8288,でゅーくすほてる　なかす,★中洲・天神徒歩圏内★「中洲川端」駅3番出口より徒歩約4分★,5190.0,120930.19,469461.41,810-0802,福岡県,福岡市博多区中洲中島町1-1　,092-283-2800,092-283-2900,博多駅から地下鉄をご利用頂き、2駅目の「中洲川端」駅で下車　3番出口より徒歩約4分,【契約駐車場】￥1500＊徒歩1分￥1500＊徒歩5分※台数に限りが有。フロントへお問い合わせ下さい,中洲川端,https://img.travel.rakuten.co.jp/share/HOTEL/8288/8288.jpg,https://img.travel.rakuten.co.jp/HIMG/90/8288.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/8288/8288_lob.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/8288.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/8288/8288map.gif,3005.0,4.06,,sk,■シングル《15.3平米◇ベッド幅140cm》【禁煙】 ■,4762610.0,【楽天限定！返金不可プラン】一番お得☆15％OFF＆ポイント10％☆お食事なしのシンプルステイ☆,10,0,0,0,0,2,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=8288&f_syu=sk&f_hi1=2026-08-13&f_hi2=2026-08-14&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=4762610,0,2026-08-13,9010,9010,1,2026-08-13,seibu
178484,ベストウェスタンプラス福岡天神南,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=178484,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=178484&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=178484,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=178484,べすとうぇすたんぷらすふくおかてんじん,九州初、ベストウェスタンプラスでワンランク上の快適なご滞在を。天神も中洲も徒歩圏内。ビジネスや旅行に最適です。,5500.0,120908.64,469470.24,810-0003,福岡県,福岡市中央区春吉3-13-19,092-718-7700,092-718-7705,福岡市地下鉄七隈線「天神南駅」より徒歩にて約5分,無し　近隣のコインパーキングをご利用ください。,天神,https://img.travel.rakuten.co.jp/share/HOTEL/178484/178484.jpg,https://img.travel.rakuten.co.jp/HIMG/90/178484.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/178484/178484map.gif,792.0,4.18,"朝食バイキングには福岡名物の明太子等もあり、充実していました。ホテル横にある駐車場は15時から翌朝10時位までで3600円です。3階と10階にアイスマシンがあるので助かりました。　2026-08-03 11:10:20投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=178484"" class=""3click"">つづきはこちら</a>",roh,お部屋タイプおまかせ,5551932.0,【お日にち限定】お部屋タイプおまかせプラン / 素泊り,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=178484&f_syu=roh&f_hi1=2026-08-13&f_hi2=2026-08-14&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=5551932,0,2026-08-13,14960,14960,0,2026-08-13,seibu
16283,ホテルエトワス天神,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=16283,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=16283&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=16283,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=16283,えとわす　てんじん,★地下鉄天神駅徒歩３分★駅近で朝から海鮮丼＆九州のご当地料理ブッフェを楽しめるホテル,4950.0,120920.73,469432.47,810-0001,福岡県,福岡市中央区天神3-5-18,092-737-3233,092-737-3266,福岡空港・博多駅から地下鉄１本／福岡市営地下鉄『天神駅』４番出口より徒歩３分／都市高速天神北ランプより車約５分,無（提携駐車場あり「安国駐車場」徒歩3分）　※「セイワパーク天神親富孝通り」は2026年8月末で閉鎖,天神,https://img.travel.rakuten.co.jp/share/HOTEL/16283/16283.jpg,https://img.travel.rakuten.co.jp/HIMG/90/16283.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/16283/16283_room.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/16283.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/16283/16283map.gif,2591.0,4.04,"天神駅から近く、天神の街を楽しむにはとても良い立地です。ホテル自体も清潔感があり、快適に過ごせるのではないかと思います。　2026-08-06 22:07:32投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=16283"" class=""3click"">つづきはこちら</a>",ssns,【禁煙】スタンダードシングル,6219280.0,【SALE】【素泊まり】今だけお得★スペシャルプライス！地下鉄天神駅徒歩3分の好立地,1,0,0,0,0,2,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=16283&f_syu=ssns&f_hi1=2026-08-13&f_hi2=2026-08-14&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=6219280,0,2026-08-13,9900,9900,0,2026-08-13,seibu
179248,アパホテル〈福岡天神西〉,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=179248,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=179248&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=179248,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=179248,あぱほてる〈ふくおかてんじんにし〉,地下鉄赤坂駅4番出口から徒歩4分！天神、大名エリアへ至便な立地です。,4300.0,120902.87,469418.59,810-0041,福岡県,福岡市中央区大名1-9-39,092-720-6786,092-401-1808,地下鉄空港線「赤坂駅」（4番出口）から徒歩4分、西鉄「西鉄福岡駅」北口より徒歩9分,2500円/1泊（6台・会員ランク・プランに準ずる）〈先着順〉※予約不可,赤坂（福岡）,https://img.travel.rakuten.co.jp/share/HOTEL/179248/179248.jpg,https://img.travel.rakuten.co.jp/HIMG/90/179248.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/179248/179248map.gif,512.0,4.11,"また利用したい。　2026-08-08 07:06:35投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=179248"" class=""3click"">つづきはこちら</a>",001,シングル【全室禁煙】,6162811.0,【素泊まり・事前決済限定】1秒チェックインにおすすめ！,1,0,0,0,0,2,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=179248&f_syu=001&f_hi1=2026-08-13&f_hi2=2026-08-14&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=6162811,0,2026-08-13,10000,10000,0,2026-08-13,seibu
17977,福岡フローラルイン西中洲,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=17977,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=17977&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=17977,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=17977,ふくおか　ふろーらるいん　にしなかす,自社農園直送の地産地消ビュッフェで、芯から元気になるウェルネス滞在をお届けします！！,5097.0,120916.03,469465.62,810-0002,福岡県,福岡市中央区西中洲5-10,092-735-1100,092-735-1119,市営地下鉄「中洲川端」1番出口より徒歩4分・市営地下鉄「天神」16番出口より徒歩4分・西鉄バス「春吉」バス停から徒歩2分,"￥1,500/1泊　平面コインパーキング有＊先着順＊予約不可、事前確保はお受けしておりません",中洲川端,https://img.travel.rakuten.co.jp/share/HOTEL/17977/17977.jpg,https://img.travel.rakuten.co.jp/HIMG/90/17977.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/17977/17977_kya.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/17977.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/17977/17977map.gif,5019.0,4.2,"また、デザイン性あるおしゃれな外観・内装なので、滞在時間も…　2026-08-09 03:55:47投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=17977"" class=""3click"">つづきはこちら</a>",sbnbf, 【禁煙】シングルルーム,4243306.0,【スタンダード】出張応援！立地×柔軟性◎効率重視ステイ｜素泊り,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=17977&f_syu=sbnbf&f_hi1=2026-08-13&f_hi2=2026-08-14&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=4243306,0,2026-08-13,12300,12300,0,2026-08-13,seibu
147590,ホテルニューガイア薬院,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=147590,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=147590&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=147590,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=147590,にゅーがいあやくいん,全館リニューアル！全客室エアウィーブ導入＆無料ラウンジで快適な滞在を。＼別館（新客室）続々NEWOPEN／,5800.0,120876.74,469455.87,810-0013,福岡県,福岡市中央区大宮1-1-6(本館）/福岡市中央区大宮1-1-7（別館No.21）/福岡市中央区平尾1-3-45（別館No.22）/　福岡市中央区平尾1丁目4-4（別館No.23）,092-534-4126,092-534-4127,西鉄薬院駅又は地下鉄七隈線薬院駅より徒歩約2分,"8台【1泊￥1,000-】 ●先着順・予約不可 ※ 満車の場合、近隣の有料駐車場をご利用下さい。",薬院,https://img.travel.rakuten.co.jp/share/HOTEL/147590/147590.jpg,https://img.travel.rakuten.co.jp/HIMG/90/147590.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/147590/147590map.gif,1432.0,4.15,"お酒を飲まな…　2026-08-11 14:13:23投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=147590"" class=""3click"">つづきはこちら</a>",ncb,【男性専用・禁煙】プレミアムキャビン（for men）,6031202.0,《男性専用》【プレミアムキャビン宿泊体験プラン】ポイント2倍◇フリースペース完備,2,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=147590&f_syu=ncb&f_hi1=2026-08-13&f_hi2=2026-08-14&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=6031202,0,2026-08-13,5800,5800,0,2026-08-13,seibu
181851,ホテルリファレンス天神３,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=181851,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=181851&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=181851,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=181851,ほてるりふぁれんすてんじん３,ライブハウス・イベント会場へのアクセス抜群！天神中心部徒歩圏内★全室クイーンサイズベッド＆4KTV。,4790.0,120926.32,469430.47,810-0001,福岡県,福岡市中央区天神3-8-10,092-718-3030,092-718-3050,西鉄福岡天神駅(地下鉄天神駅)下車から天神地下街の西1出口より徒歩7分,"24時間1,500円(ご宿泊者様のみ)　ご予約不可",西鉄福岡,https://img.travel.rakuten.co.jp/share/HOTEL/181851/181851.jpg,https://img.travel.rakuten.co.jp/HIMG/90/181851.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/181851/181851map.gif,387.0,4.27,"ホテル前の駐車スペースは少ないですが近隣のコインパーキングが多いため不自由ではなかったです。　2026-07-28 10:20:27投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=181851"" class=""3click"">つづきはこちら</a>",0001,【禁煙】ダブルルーム(Standard)★クイーンベッド★,4967516.0,【オンライン決済限定プラン】ライブ会場・福岡グルメ・観光地アクセス良好★天神★素泊まり※返金不可,1,0,0,0,0,2,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=181851&f_syu=0001&f_hi1=2026-08-13&f_hi2=2026-08-14&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=4967516,0,2026-08-13,11200,11200,0,2026-08-13,seibu
17701,博多グリーンホテル天神,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=17701,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=17701&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=17701,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=17701,はかた　ぐりーんほてる　てんじん,チェックイン１３時、アウト１２時◇全室、シモンズ製６．５インチベッド、加湿空気清浄機完備◇Wi－Fi無料,6600.0,120912.03,469424.66,810-0041,福岡県,福岡市中央区大名2-9-11,092-722-3636,092-722-3637,福岡空港から市営地下鉄13分⇒赤坂駅下車後５番出口より徒歩１分,"近隣一般駐車場契約有[1泊2,500円入出庫無]※お気軽におたずね下さい",天神,https://img.travel.rakuten.co.jp/share/HOTEL/17701/17701.jpg,https://img.travel.rakuten.co.jp/HIMG/90/17701.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/17701/17701_tw.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/17701.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/17701/17701map.gif,2290.0,4.12,"お部屋もキレイでまた利用したいと思いました　2026-08-08 09:28:50投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=17701"" class=""3click"">つづきはこちら</a>",s-kinen,禁煙シングルルーム,3335569.0,【軽朝食無料サービス付き】13時イン12時アウトシングルプラン,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=17701&f_syu=s-kinen&f_hi1=2026-08-13&f_hi2=2026-08-14&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=3335569,0,2026-08-13,12000,12000,0,2026-08-13,seibu
