basic_hotelNo,basic_hotelName,basic_hotelInformationUrl,basic_planListUrl,basic_dpPlanListUrl,basic_reviewUrl,basic_hotelKanaName,basic_hotelSpecial,basic_hotelMinCharge,basic_latitude,basic_longitude,basic_postalCode,basic_address1,basic_address2,basic_telephoneNo,basic_faxNo,basic_access,basic_parkingInformation,basic_nearestStation,basic_hotelImageUrl,basic_hotelThumbnailUrl,basic_roomImageUrl,basic_roomThumbnailUrl,basic_hotelMapImageUrl,basic_reviewCount,basic_reviewAverage,basic_userReview,room_roomClass,room_roomName,room_planId,room_planName,room_pointRate,room_withDinnerFlag,room_dinnerSelectFlag,room_withBreakfastFlag,room_breakfastSelectFlag,room_payment,room_reserveUrl,room_salesformFlag,charge_stayDate,charge_rakutenCharge,charge_total,charge_chargeFlag,date,area
147709,博多グリーンホテル１号館,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=147709,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=147709&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=147709,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=147709,はかたぐりーんほてるいちごうかん,博多駅徒歩1分でアクセス抜群！１３時イン・１２時アウトのゆったり滞在。◇個別空調◇シモンズベッド◇加湿空気清浄機完備,7600,120918.91,469527.72,812-0012,福岡県,福岡市博多区博多駅中央街4-4,092-451-4110,092-451-4115,【最短アクセス】福岡空港～地下鉄５分。JR博多駅筑紫口（新幹線口）～徒歩１分！,"1泊／2,500円　先着・予約不可(満車・サイズによる入庫不可は有料駐車場へ案内　※途中入出庫不可)",博多,https://img.travel.rakuten.co.jp/share/HOTEL/147709/147709.jpg,https://img.travel.rakuten.co.jp/HIMG/90/147709.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/147709/147709map.gif,1924.0,4.28,"博多駅から すぐ近くで 便利でした。コンビニやドラッグストアやレストランやカフェも たくさんあります。駅チカが 1番です。フロントの方も 良好でした。食事は ホテル…　2026-04-11 16:48:13投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=147709"" class=""3click"">つづきはこちら</a>",sk1_basic,禁煙シングル,3376775.0,【素泊まり】13時イン12時アウトシングルプラン,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=147709&f_syu=sk1_basic&f_hi1=2026-04-17&f_hi2=2026-04-18&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=3376775,0,2026-04-17,26600,26600,0,2026-04-17,fukuoka
182019,アパホテル〈博多駅筑紫口〉,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=182019,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=182019&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=182019,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=182019,あぱほてる　はかたえきちくしぐち,博多駅から最も近いアパホテル。2棟構成でCENTRAL棟には大浴殿完備。WEST棟では静かに過ごせる,5040,120916.87,469533.42,812-0013,福岡県,福岡市博多区博多駅東1-14-1(セントラル棟)／福岡市博多区博多駅東1-11-11(ウエスト棟),0570-056-311,092-477-6312,地下鉄空港線「博多」駅(東7番出口)から徒歩2分、山陽新幹線・九州新幹線・JR各線「博多」駅(筑紫口)から徒歩4分,"セントラル棟16台　1,800円／1泊（11時&#12316;翌11時）※先着順",博多,https://img.travel.rakuten.co.jp/share/HOTEL/182019/182019.jpg,https://img.travel.rakuten.co.jp/HIMG/90/182019.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/182019/182019map.gif,942.0,4.17,"クチコ…　2026-04-13 13:23:07投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=182019"" class=""3click"">つづきはこちら</a>",s1w,【ウエスト棟】スタンダード(1名利用) 禁煙◆大浴殿は別館,5188888.0,【素泊まり・事前決済限定】1秒チェックインにおすすめ！,1,0,0,0,0,2,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=182019&f_syu=s1w&f_hi1=2026-04-17&f_hi2=2026-04-18&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=5188888,0,2026-04-17,22100,22100,0,2026-04-17,fukuoka
79344,ダイワロイネットホテル博多祇園,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=79344,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=79344&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=79344,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=79344,だいわろいねっとほてるはかたぎおん,地下鉄「祇園駅」より徒歩約1分の駅ちかホテル。天神・中洲屋台・キャナルシティへは徒歩圏内。ビジネス・遊びに便利。,5500,120924.68,469497.51,812-0038,福岡県,福岡市博多区祗園町1-24,092-281-3600,092-281-3601,地下鉄空港線「祇園駅」3番出口より徒歩約1分。JR「博多駅」より徒歩約8分、又は地下鉄利用で「祇園駅」下車、徒歩約1分。,"立体駐車場。収容20台。1泊（13時〜翌13時）1,800円税込。営業7時〜22時。車高1.55m迄",祇園（福岡）,https://img.travel.rakuten.co.jp/share/HOTEL/79344/79344.jpg,https://img.travel.rakuten.co.jp/HIMG/90/79344.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/79344/79344_room.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/79344.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/79344/79344map.gif,3978.0,4.11,"仕事の合間にランチへ有名なおうどん屋さんへ…　2026-04-12 12:52:13投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=79344"" class=""3click"">つづきはこちら</a>",ss-01,＜喫煙＞スタンダードダブル 1名利用 18平米,1496191.0,【素泊まり】シンプルステイプラン●博多駅・中州へ好立地 祗園駅約1分●,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=79344&f_syu=ss-01&f_hi1=2026-04-17&f_hi2=2026-04-18&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=1496191,0,2026-04-17,25000,25000,0,2026-04-17,fukuoka
163065,スーパーホテルＰｒｅｍｉｅｒ博多駅・筑紫口天然温泉,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=163065,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=163065&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=163065,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=163065,すーぱーほてるぷれみあはかたえき・ちくしぐちてんねんおんせん,アルコールも楽しめるウェルカムバー（15時～21時）＆夜通し入れる天然温泉でリフレッシュ☆博多駅から徒歩約8分！！,10000,120895.49,469537.61,812-0016,福岡県,福岡市博多区博多駅南2-1-32,092-451-9000,092-451-9001,JR博多駅・筑紫口徒歩約８分！福岡空港から車で約10分！地下鉄博多駅東5番出口！博多駅東３丁目交差点セブンイレブン前,7台分（事前予約制） 1泊2，000円 ※高さ制限なし 　　近隣にコインパーキング多数あり,博多,https://img.travel.rakuten.co.jp/share/HOTEL/163065/163065.jpg,https://img.travel.rakuten.co.jp/HIMG/90/163065.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/163065/163065map.gif,1529.0,4.27,"クチコミの詳細はこちらから　https://review.tr…　2026-04-12 13:10:34投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=163065"" class=""3click"">つづきはこちら</a>",k0,【素泊まり】部屋タイプお任せ【お部屋は当日のお楽しみ】,5157607.0,【素泊まり】オンライン決済限定プラン☆天然温泉＆ウェルカムバー付☆チェックアウトの手続きなし！,1,0,0,0,0,2,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=163065&f_syu=k0&f_hi1=2026-04-17&f_hi2=2026-04-18&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=5157607,0,2026-04-17,23900,23900,0,2026-04-17,fukuoka
151369,ＫＯＫＯ　ＨＯＴＥＬ　博多駅前（旧：ホテルウィングインターナショナルセレクト博多駅前）,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=151369,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=151369&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=151369,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=151369,ここ　ほてる　はかたえきまえ,【TVで話題！博多駅徒歩4分のデザインホテル】世界11都市を巡る寛ぎの空間。全室シモンズ製ベッドとナノイー空気清浄機完備,2925,120906.47,469507.04,812-0011,福岡県,福岡市博多区博多駅前3-22-19,092-476-9111,092-476-9112,JR・地下鉄博多駅博多口から徒歩4分☆福岡空港国内線から地下鉄で2駅　タクシーで約15分　国際線からタクシーで約20分,提携有料駐車場有り／270台収容　24時間1500円（税込）でサービス券販売中,博多,https://img.travel.rakuten.co.jp/share/HOTEL/151369/151369.jpg,https://img.travel.rakuten.co.jp/HIMG/90/151369.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/151369/151369_kan1.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/151369.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/151369/151369map.gif,1072.0,4.07,"部屋の広さは別にしても、風呂場に入るのに着替えるところがないのは、二人部屋にしてはおかしな作りだと思う。…　2026-04-12 08:04:50投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=151369"" class=""3click"">つづきはこちら</a>",newsgl,【South Wing】禁煙スタンダードシングルルーム,5702098.0,【タイムセール／素泊まり】インスタ映え抜群！フロアごとに異なる世界の都市をイメージしたデザイン,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=151369&f_syu=newsgl&f_hi1=2026-04-17&f_hi2=2026-04-18&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=5702098,0,2026-04-17,23100,23100,0,2026-04-17,fukuoka
108259,ホテルアクティブ！博多,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=108259,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=108259&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=108259,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=108259,あくてぃぶ！はかた,和洋ビュッフェ朝食無料サービス＆人工温泉大浴場付◆博多駅博多口より徒歩約4分◆楽天GOLDアワード2025受賞,6000,120908.36,469505.34,812-0011,福岡県,福岡市博多区博多駅前3-20-16,092-452-0001,092-452-0011,ＪＲ博多駅・博多口より徒歩約４分◆空港からは地下鉄で博多駅まで約５分・西２０番出口から徒歩約２分,普通車１台１泊税込１１００円／徒歩１分圏に複数の契約駐車場（総枠数１６５台）全枠平置きでハイルーフ可,博多,https://img.travel.rakuten.co.jp/share/HOTEL/108259/108259.jpg,https://img.travel.rakuten.co.jp/HIMG/90/108259.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/108259/108259map.gif,11180.0,4.34,"朝食は品数がめちゃくちゃ多い訳ではないけど、どれも美味しく適量。お茶漬…　2026-04-14 00:50:29投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=108259"" class=""3click"">つづきはこちら</a>",a-ns,◇禁煙◇アクティブルーム（ダブルベッド×1）新感覚レイアウト,6417217.0,【ゴールドアワード2025】受賞記念プラン！和洋ビュッフェ朝食無料／人工温泉大浴場,1,0,0,1,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=108259&f_syu=a-ns&f_hi1=2026-04-17&f_hi2=2026-04-18&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=6417217,0,2026-04-17,22000,22000,0,2026-04-17,fukuoka
80574,博多グリーンホテルアネックス,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=80574,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=80574&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=80574,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=80574,はかたぐりーんほてるあねっくす,博多駅徒歩1分でアクセス抜群！１３時イン・１２時アウトのゆったり滞在。◇個別空調◇シモンズベッド◇直営コンビニ１Ｆ有,7000,120916.94,469527.77,812-0012,福岡県,福岡市博多区博多駅中央街4-32,092-451-4112,092-451-4177,【最短アクセス】福岡空港～地下鉄５分。JR博多駅筑紫口（新幹線口）～徒歩１分！,"1泊／2,500円　先着・予約不可(満車・サイズによる入庫不可は有料駐車場へ案内　※途中入出庫不可)",博多,https://img.travel.rakuten.co.jp/share/HOTEL/80574/80574.jpg,https://img.travel.rakuten.co.jp/HIMG/90/80574.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/80574/80574_room.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/80574.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/80574/80574map.gif,2471.0,4.31,"クチコミの詳細はこちらから　https://review.travel.rakuten.co.jp/hotel/voice/80574?reviewI…　2026-04-11 16:55:39投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=80574"" class=""3click"">つづきはこちら</a>",s,喫煙シングルルーム,6298861.0,【煙草と珈琲で整える、大人の休息ステイ。】素泊まり喫煙シングルプラン,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=80574&f_syu=s&f_hi1=2026-04-17&f_hi2=2026-04-18&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=6298861,0,2026-04-17,28000,28000,0,2026-04-17,fukuoka
178967,ホテルフロント・イン福岡空港,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=178967,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=178967&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=178967,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=178967,ふろんといんふくおかくうこう,福岡空港や博多の森陸上競技場に隣接しビジネス・観光・イベントの拠点に最適なホテルです。博多・中洲・天神へのアクセスも抜群,7040,120956.0,469638.78,811‐2205,福岡県,糟屋郡志免町別府2-18-1,092-624-6688,092-624-6677,地下鉄　福岡空港駅より徒歩にて約12分,有り　32台　1泊１区画800円（※2tロング以上は１区画1600円）　要予約,福岡空港,https://img.travel.rakuten.co.jp/share/HOTEL/178967/178967.jpg,https://img.travel.rakuten.co.jp/HIMG/90/178967.jpg,,,https://img.travel.rakuten.co.jp/share/HOTEL/178967/178967map.gif,603.0,4.08,"クチコミの詳…　2026-04-11 21:55:07投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=178967"" class=""3click"">つづきはこちら</a>",ladies,レディースフロアシングル（女性専用※男性宿泊不可）,4891430.0,【福岡空港ご利用の方限定】素泊りプラン,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=178967&f_syu=ladies&f_hi1=2026-04-17&f_hi2=2026-04-18&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=4891430,0,2026-04-17,12870,12870,0,2026-04-17,fukuoka
16445,リッチモンドホテル博多駅前,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=16445,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=16445&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=16445,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=16445,りっちもんど　はかたえきまえ,◇広い客室、デスク、明るい照明、WiFi無料。JR「博多駅」筑紫口より徒歩約4分。地下鉄「福岡空港駅」より約5分。,6105,120905.83,469527.62,812-0012,福岡県,福岡市博多区博多駅中央街6-17,092-433-0011,092-433-0166,JR「博多駅」筑紫口より徒歩約4分／地下鉄「博多駅」東5番出口より徒歩約3分(福岡空港からは後方の車両へ),立体駐車場　1泊1500　車高1.5ｍ・長さ5ｍ・車幅1.85ｍ　提携駐車場　有　,博多,https://img.travel.rakuten.co.jp/share/HOTEL/16445/16445.jpg,https://img.travel.rakuten.co.jp/HIMG/90/16445.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/16445/16445_sd.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/16445.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/16445/16445map.gif,6153.0,4.2,"この時期、全館空調は、暖房しかならないのですが、ここは、冷房にもなるので、人に合った温度調整が出来るのでOKです。朝食は、豪華ですが、少し値段を下げて、…　2026-04-02 09:30:30投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=16445"" class=""3click"">つづきはこちら</a>",vss,喫煙シングル（ベッド140cm/18平米）大人1名・添寝1名,5153721.0,21時から最大12時間滞在【素泊まり】翌日9時チェックアウト,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=16445&f_syu=vss&f_hi1=2026-04-17&f_hi2=2026-04-18&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=5153721,0,2026-04-17,27610,27610,0,2026-04-17,fukuoka
76404,天然温泉　御笠の湯　ドーミーイン博多祇園（２０２６年４月１日リニューアルオープン）,https://img.travel.rakuten.co.jp/image/tr/api/re/pvonD/?f_no=76404,https://img.travel.rakuten.co.jp/image/tr/api/re/vFumt/?f_no=76404&f_flg=PLAN,https://img.travel.rakuten.co.jp/image/tr/api/re/WzozX/?noTomariHotel=76404,https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=76404,てんねんおんせん　みかさのゆ　どーみーいんはかたぎおん,【4月リニューアルオープン】博多で温泉に入ろう！空港から地下鉄で1本でアクセス抜群　博多名物「水炊き」自慢の朝食を☆,8500,120924.81,469495.06,812-0039,福岡県,福岡市博多区冷泉町1-12,092-271-5489,092-271-5210,地下鉄空港線「祗園駅」3番出口から徒歩1分、博多駅から徒歩約10分,12台【先着順・出入自由・1泊 ２０００円】満車の際は提携先又は近隣駐車場にご案内させて頂きます。,祇園（福岡）,https://img.travel.rakuten.co.jp/share/HOTEL/76404/76404.jpg,https://img.travel.rakuten.co.jp/HIMG/90/76404.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/76404/76404_d.jpg,https://img.travel.rakuten.co.jp/HIMG/INTERIOR/76404.jpg,https://img.travel.rakuten.co.jp/share/HOTEL/76404/76404map.gif,4646.0,4.28,"友人に会うために少し早めに到着し荷物を預かってもらったのですがフロントの方も笑顔で対応してしてくださいました。天然温泉とありました。ゆったりと過ごせましたし湯上が…　2026-04-12 04:49:00投稿 <a href=""https://img.travel.rakuten.co.jp/image/tr/api/re/gJNfM/?f_hotel_no=76404"" class=""3click"">つづきはこちら</a>",dn3,◆禁煙ダブル◆全室シモンズ社製ベッド！,1834097.0,【大浴場×サウナでととのう！】ドーミーインスタンダードプラン!!＜素泊まり＞,1,0,0,0,0,1,https://img.travel.rakuten.co.jp/image/tr/api/re/IdsCY/?f_no=76404&f_syu=dn3&f_hi1=2026-04-17&f_hi2=2026-04-18&f_heya_su=1&f_otona_su=1&f_s1=0&f_s2=0&f_y1=0&f_y2=0&f_y3=0&f_y4=0&f_camp_id=1834097,0,2026-04-17,26500,26500,0,2026-04-17,fukuoka
